DateTimeOfCall,HourlyNotionalCost,IncidentNotionalCost,AnimalGroupParent,PropertyCategory,SpecialServiceTypeCategory,SpecialServiceType,Area
27/03/2018 15:28,328,328,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Perrystown
27/03/2018 17:04,328,328,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Dalkey
28/03/2018 13:21,328,328,Fox,Non Residential,Other animal assistance,Animal assistance involving wild animal - Other action,Smithfield
28/03/2018 18:47,328,328,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Rathfarnham
31/03/2018 13:28,328,656,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Terenure
01/04/2018 11:36,333,333,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Donnybrook
02/04/2018 16:38,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Portobello
03/04/2018 15:51,333,333,Cat,Non Residential,Other animal assistance,Animal assistance involving wild animal - Other action,Drumcondra
03/04/2018 17:04,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Temple Bar
04/04/2018 12:38,333,333,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Clontarf
07/04/2018 07:16,333,333,Dog,Outdoor Structure,Other animal assistance,Assist trapped domestic animal,Clonsilla
07/04/2018 12:33,333,333,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Killester
07/04/2018 16:11,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Milltown
08/04/2018 10:36,333,333,Cat,Dwelling,Other animal assistance,Animal assistance involving domestic animal - Other action,Milltown
08/04/2018 20:35,333,333,Bird,Dwelling,Other animal assistance,Assist trapped wild animal,Clonsilla
10/04/2018 19:45,333,333,Unknown - Domestic Animal Or Pet,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Leopardstown
10/04/2018 20:31,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Walkinstown
11/04/2018 21:06,333,333,Cat,Outdoor,Other animal assistance,Assist trapped domestic animal,Clonsilla
12/04/2018 18:57,333,333,Cat,Dwelling,Animal rescue from height,Wild animal rescue from height,Belfield
12/04/2018 19:11,333,333,Budgie,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Tallaght
13/04/2018 03:01,333,333,Fox,Dwelling,Animal rescue from below ground,Wild animal rescue from below ground,Ranelagh
13/04/2018 17:22,333,666,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Dun laoighre
13/04/2018 22:19,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Drumcondra
14/04/2018 11:41,333,666,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Glasnevin
14/04/2018 22:02,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Ranelagh
15/04/2018 01:55,333,333,Cat,Road Vehicle,Other animal assistance,Assist trapped domestic animal,Crumlin
15/04/2018 20:44,333,333,Dog,Outdoor Structure,Other animal assistance,Assist trapped domestic animal,Dun laoighre
16/04/2018 10:16,333,NULL,Dog,Outdoor,Other animal assistance,Animal assistance involving domestic animal - Other action,Rathmines
17/04/2018 15:34,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Templeogue
17/04/2018 22:56,333,333,Dog,Non Residential,Other animal assistance,Assist trapped domestic animal,Temple Bar
18/04/2018 15:35,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Rathmines
18/04/2018 16:23,333,333,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Glasnevin
18/04/2018 17:55,333,333,cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Templeogue
19/04/2018 10:41,333,999,Horse,Outdoor,Other animal assistance,Animal assistance - Lift heavy livestock animal,Cabra
19/04/2018 11:33,333,666,Horse,Outdoor,Other animal assistance,Animal assistance involving domestic animal - Other action,Perrystown
19/04/2018 18:09,333,NULL,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Rathmines
20/04/2018 15:03,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Ballymun
21/04/2018 13:33,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Glasnevin
21/04/2018 13:38,333,333,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Killester
21/04/2018 14:22,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Glasnevin
22/04/2018 01:34,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Dalkey
22/04/2018 13:41,333,333,Dog,Dwelling,Other animal assistance,Assist trapped domestic animal,Rathfarnham
22/04/2018 15:47,333,666,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Belfield
22/04/2018 16:23,333,666,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Rathfarnham
22/04/2018 20:00,333,333,Cat,Non Residential,Other animal assistance,Animal assistance involving domestic animal - Other action,Smithfield
23/04/2018 15:03,333,333,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Ballyfermot
23/04/2018 16:17,333,333,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Temple Bar
25/04/2018 11:28,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Cabra
25/04/2018 12:12,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
25/04/2018 16:20,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Donnybrook
25/04/2018 16:23,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Killester
25/04/2018 20:31,333,333,Bird,Dwelling,Other animal assistance,Assist trapped wild animal,Dun laoighre
25/04/2018 23:07,333,333,Bird,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Glasnevin
26/04/2018 06:33,333,333,Fox,Outdoor Structure,Other animal assistance,Assist trapped wild animal,Rathmines
26/04/2018 08:17,333,333,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Milltown
26/04/2018 22:30,333,333,Cat,Outdoor,Other animal assistance,Assist trapped domestic animal,Perrystown
27/04/2018 15:06,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Rathfarnham
29/04/2018 10:50,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Rathmines
30/04/2018 01:39,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Killester
01/05/2018 10:24,333,333,Fox,Outdoor,Other animal assistance,Animal assistance involving wild animal - Other action,Crumlin
01/05/2018 18:15,333,333,Fox,Outdoor,Other animal assistance,Assist trapped wild animal,Santry
02/05/2018 10:04,333,333,Fox,Dwelling,Other animal assistance,Animal assistance involving domestic animal - Other action,Leopardstown
03/05/2018 10:12,333,333,Fox,Outdoor Structure,Other animal assistance,Assist trapped wild animal,Templeogue
04/05/2018 00:24,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Rathfarnham
04/05/2018 01:16,333,333,Ferret,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Killester
04/05/2018 10:02,333,333,Cat,Dwelling,Other animal assistance,Animal assistance involving domestic animal - Other action,Walkinstown
04/05/2018 20:49,333,333,Pigeon,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Leopardstown
05/05/2018 14:12,333,333,Fox,Outdoor Structure,Other animal assistance,Assist trapped wild animal,Templeogue
05/05/2018 16:34,333,333,Cat,Outdoor,Other animal assistance,Assist trapped domestic animal,Belfield
05/05/2018 19:42,333,333,Squirrel,Dwelling,Other animal assistance,Assist trapped wild animal,Cabra
05/05/2018 21:34,333,333,Fox,Dwelling,Animal rescue from below ground,Wild animal rescue from below ground,Rathmines
06/05/2018 17:07,333,333,Dog,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
06/05/2018 21:09,333,333,Cat,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Dun laoighre
08/05/2018 12:19,333,666,Dog,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Clontarf
08/05/2018 12:39,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Drumcondra
09/05/2018 11:58,333,333,Fox,Outdoor Structure,Animal rescue from below ground,Wild animal rescue from below ground,Drumcondra
09/05/2018 20:38,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Portobello
10/05/2018 11:36,333,333,Bird,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Bird,Belfield
10/05/2018 12:36,333,333,Bird,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Leopardstown
10/05/2018 15:00,333,333,Cat,Non Residential,Other animal assistance,Animal assistance involving domestic animal - Other action,Walkinstown
10/05/2018 21:58,333,666,Dog,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Portobello
11/05/2018 06:32,333,333,Cat,Outdoor Structure,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
11/05/2018 12:04,333,333,Dog,Outdoor,Other animal assistance,Assist trapped domestic animal,Leopardstown
11/05/2018 18:12,333,333,Cat,Outdoor,Other animal assistance,Animal assistance involving domestic animal - Other action,Tallaght
12/05/2018 09:19,333,333,Cat,Dwelling,Other animal assistance,Animal assistance involving domestic animal - Other action,Temple Bar
12/05/2018 12:12,333,333,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Ballymun
12/05/2018 14:07,333,333,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Walkinstown
12/05/2018 16:13,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Blackrock
13/05/2018 10:48,333,333,Fox,Non Residential,Other animal assistance,Assist trapped wild animal,Templeogue
13/05/2018 11:38,333,333,Cat,Road Vehicle,Other animal assistance,Assist trapped domestic animal,SUTTON
13/05/2018 13:18,333,333,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Rathmines
13/05/2018 15:09,333,333,Fox,Dwelling,Other animal assistance,Assist trapped wild animal,Blackrock
13/05/2018 17:45,333,333,Bird,Dwelling,Other animal assistance,Assist trapped wild animal,Killester
13/05/2018 18:42,333,333,Dog,Dwelling,Other animal assistance,Assist trapped domestic animal,Cabra
14/05/2018 13:37,333,333,Dog,Road Vehicle,Other animal assistance,Animal assistance involving domestic animal - Other action,Glasnevin
14/05/2018 18:57,333,333,Cat,Non Residential,Other animal assistance,Animal assistance involving domestic animal - Other action,SUTTON
14/05/2018 20:33,333,333,Cat,Dwelling,Other animal assistance,Animal assistance involving domestic animal - Other action,Templeogue
15/05/2018 12:19,333,333,Bird,Non Residential,Other animal assistance,Assist trapped wild animal,Stepaside
15/05/2018 14:26,333,333,Bird,Dwelling,Other animal assistance,Assist trapped wild animal,Ballymun
15/05/2018 15:47,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Drumcondra
15/05/2018 18:15,333,333,Bird,Outdoor Structure,Other animal assistance,Assist trapped wild animal,Cabra
15/05/2018 22:03,333,333,Fox,Dwelling,Animal rescue from below ground,Wild animal rescue from below ground,Rathfarnham
16/05/2018 11:22,333,333,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Clontarf
16/05/2018 20:28,333,333,Deer,Outdoor,Other animal assistance,Assist trapped wild animal,Belfield
17/05/2018 10:53,333,333,Unknown - Domestic Animal Or Pet,Dwelling,Other animal assistance,Assist trapped domestic animal,Drumcondra
17/05/2018 12:10,333,333,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Stepaside
17/05/2018 16:09,333,999,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Stepaside
18/05/2018 10:42,333,333,Dog,Dwelling,Other animal assistance,Assist trapped domestic animal,Rathmines
19/05/2018 11:26,333,333,Bird,Road Vehicle,Other animal assistance,Animal assistance involving wild animal - Other action,Clontarf
19/05/2018 12:42,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
20/05/2018 19:44,333,333,Bird,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Templeogue
20/05/2018 21:34,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
22/05/2018 13:56,333,333,Dog,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Donnybrook
22/05/2018 18:21,333,333,Bird,Dwelling,Other animal assistance,Assist trapped wild animal,Dundrum
23/05/2018 11:03,333,333,Cat,Road Vehicle,Other animal assistance,Assist trapped domestic animal,Cabra
23/05/2018 11:05,333,333,Dog,Non Residential,Other animal assistance,Assist trapped domestic animal,Clonsilla
23/05/2018 16:48,333,333,Bird,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Templeogue
25/05/2018 18:05,333,333,Bird,Dwelling,Other animal assistance,Animal assistance involving wild animal - Other action,SUTTON
25/05/2018 20:00,333,333,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Milltown
26/05/2018 12:46,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Killester
28/05/2018 08:12,333,333,Bird,Outdoor,Animal rescue from water,Animal rescue from water - Bird,Leopardstown
28/05/2018 12:21,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Harolds Cross
28/05/2018 14:43,333,333,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Clontarf
28/05/2018 15:23,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Ranelagh
28/05/2018 21:12,333,333,Bird,Dwelling,Other animal assistance,Animal assistance involving wild animal - Other action,SUTTON
29/05/2018 06:52,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Clontarf
29/05/2018 11:52,333,333,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Dundrum
29/05/2018 14:22,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Rathmines
30/05/2018 00:54,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Donnybrook
30/05/2018 14:42,333,333,Dog,Dwelling,Other animal assistance,Assist trapped domestic animal,Ranelagh
30/05/2018 18:28,333,666,Bird,Dwelling,Other animal assistance,Assist trapped wild animal,Terenure
30/05/2018 20:19,333,999,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Clonsilla
31/05/2018 01:06,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Walkinstown
31/05/2018 21:49,333,333,Cat,Dwelling,Other animal assistance,Animal assistance involving domestic animal - Other action,Ranelagh
01/06/2018 16:15,333,NULL,Dog,Road Vehicle,Other animal assistance,Assist trapped domestic animal,Clonsilla
01/06/2018 18:34,333,333,Bird,Dwelling,Other animal assistance,Assist trapped wild animal,Clonsilla
02/06/2018 13:46,333,666,Bird,Outdoor,Other animal assistance,Assist trapped wild animal,Terenure
02/06/2018 16:52,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Portobello
03/06/2018 18:31,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Milltown
03/06/2018 23:25,333,333,Cat,Non Residential,Animal rescue from height,Animal rescue from height - Domestic pet,Walkinstown
04/06/2018 12:56,333,333,Lizard,Outdoor,Animal rescue from height,Wild animal rescue from height,Clonsilla
05/06/2018 10:52,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Harolds Cross
05/06/2018 16:01,333,333,Unknown - Wild Animal,Outdoor,Animal rescue from water,Wild animal rescue from water or mud,Temple Bar
06/06/2018 00:55,333,333,Bird,Dwelling,Other animal assistance,Animal assistance involving wild animal - Other action,Walkinstown
06/06/2018 06:30,333,333,Cat,Dwelling,Other animal assistance,Animal harm involving domestic animal,Cabra
06/06/2018 09:00,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Harolds Cross
06/06/2018 12:56,333,333,Cat,Non Residential,Other animal assistance,Assist trapped domestic animal,Smithfield
06/06/2018 17:40,333,333,Bird,Dwelling,Other animal assistance,Assist trapped wild animal,Tallaght
06/06/2018 20:15,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Glasnevin
06/06/2018 20:53,333,333,Fox,Outdoor Structure,Other animal assistance,Assist trapped wild animal,Cabra
07/06/2018 13:37,333,333,Dog,Outdoor Structure,Other animal assistance,Animal assistance involving domestic animal - Other action,Ranelagh
08/06/2018 18:41,333,333,Dog,Outdoor,Other animal assistance,Assist trapped domestic animal,Stepaside
09/06/2018 07:45,333,333,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Ballyfermot
09/06/2018 08:58,333,333,Cat,Road Vehicle,Other animal assistance,Assist trapped domestic animal,Templeogue
10/06/2018 15:52,333,333,Cat,Outdoor Structure,Other animal assistance,Assist trapped domestic animal,Leopardstown
10/06/2018 22:31,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Leopardstown
11/06/2018 11:05,333,666,Bird,Non Residential,Animal rescue from height,Wild animal rescue from height,Donnybrook
11/06/2018 12:24,333,333,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
11/06/2018 14:12,333,333,Dog,Non Residential,Other animal assistance,Assist trapped domestic animal,Terenure
12/06/2018 12:54,333,333,Bird,Dwelling,Other animal assistance,Animal assistance involving wild animal - Other action,Tallaght
12/06/2018 16:51,333,333,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Crumlin
14/06/2018 14:30,333,333,Dog,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Ballymun
14/06/2018 17:51,333,333,Dog,Road Vehicle,Other animal assistance,Assist trapped domestic animal,Drumcondra
14/06/2018 20:46,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Drumcondra
15/06/2018 09:16,333,333,Bird,Dwelling,Other animal assistance,Assist trapped wild animal,SUTTON
15/06/2018 15:51,333,333,Cat,Dwelling,Other animal assistance,Animal assistance involving domestic animal - Other action,SUTTON
15/06/2018 22:02,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Drumcondra
16/06/2018 01:33,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Rathmines
16/06/2018 11:29,333,333,Dog,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Ballyfermot
17/06/2018 12:42,333,333,Deer,Outdoor,Other animal assistance,Assist trapped wild animal,Clontarf
17/06/2018 17:03,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Milltown
18/06/2018 06:22,333,333,Deer,Outdoor Structure,Other animal assistance,Assist trapped wild animal,Temple Bar
19/06/2018 09:23,333,333,Bird,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Bird,Donnybrook
19/06/2018 15:17,333,666,Dog,Road Vehicle,Other animal assistance,Animal assistance involving domestic animal - Other action,Ranelagh
20/06/2018 18:08,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Portobello
21/06/2018 10:53,333,333,Dog,Road Vehicle,Other animal assistance,Animal assistance involving domestic animal - Other action,Crumlin
21/06/2018 12:22,333,333,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Temple Bar
22/06/2018 08:41,333,999,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Blackrock
22/06/2018 16:14,333,333,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Rathfarnham
22/06/2018 19:01,333,333,Dog,Outdoor,Other animal assistance,Assist trapped domestic animal,Leopardstown
23/06/2018 19:36,333,666,Cat,Road Vehicle,Other animal assistance,Assist trapped domestic animal,Killester
24/06/2018 15:58,333,333,Deer,Outdoor,Other animal assistance,Assist trapped wild animal,Clontarf
25/06/2018 19:28,333,333,Cat,Other Residential,Other animal assistance,Assist trapped domestic animal,Clontarf
26/06/2018 08:18,333,333,Cat,Non Residential,Other animal assistance,Assist trapped domestic animal,Rathmines
26/06/2018 09:20,333,999,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Santry
26/06/2018 10:29,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Drumcondra
26/06/2018 21:52,333,333,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Killester
27/06/2018 16:55,333,666,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Killester
28/06/2018 07:40,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Dun laoighre
28/06/2018 14:05,333,333,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Belfield
28/06/2018 15:20,333,333,Bird,Dwelling,Other animal assistance,Animal assistance involving wild animal - Other action,Dalkey
28/06/2018 15:55,333,333,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Belfield
28/06/2018 21:50,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Rathfarnham
29/06/2018 12:02,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Crumlin
30/06/2018 08:29,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Ranelagh
30/06/2018 14:08,333,333,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Dundrum
30/06/2018 15:37,333,333,Unknown - Wild Animal,Dwelling,Other animal assistance,Assist trapped wild animal,Clonsilla
30/06/2018 21:08,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Temple Bar
01/07/2018 03:32,333,333,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Rathfarnham
01/07/2018 08:51,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Temple Bar
01/07/2018 12:34,333,333,Fox,Dwelling,Other animal assistance,Animal assistance involving wild animal - Other action,Dalkey
01/07/2018 16:39,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Templeogue
01/07/2018 17:28,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Harolds Cross
02/07/2018 03:18,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
02/07/2018 11:03,333,333,Deer,Outdoor,Other animal assistance,Assist trapped wild animal,Ballyfermot
02/07/2018 12:45,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Ballyfermot
02/07/2018 14:28,333,333,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Dundrum
02/07/2018 18:35,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Portobello
02/07/2018 22:56,333,666,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Clonsilla
04/07/2018 16:20,333,333,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Blackrock
04/07/2018 19:27,333,333,Dog,Dwelling,Other animal assistance,Assist trapped domestic animal,Smithfield
05/07/2018 06:37,333,333,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
05/07/2018 17:39,333,333,Fox,Outdoor,Animal rescue from water,Wild animal rescue from water or mud,Clonsilla
06/07/2018 07:52,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Ranelagh
06/07/2018 08:17,333,333,Bird,Outdoor Structure,Animal rescue from below ground,Wild animal rescue from below ground,Dundrum
06/07/2018 19:01,333,333,Bird,Dwelling,Other animal assistance,Assist trapped wild animal,Belfield
06/07/2018 19:54,333,333,Cat,Outdoor Structure,Other animal assistance,Assist trapped domestic animal,Dun laoighre
07/07/2018 10:44,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Templeogue
08/07/2018 12:58,333,333,Horse,Outdoor,Animal rescue from water,Animal rescue from water - Farm animal,Perrystown
08/07/2018 14:22,333,333,Cat,Dwelling,Other animal assistance,Animal assistance involving domestic animal - Other action,Clontarf
08/07/2018 17:10,333,333,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Harolds Cross
09/07/2018 07:48,333,333,Fox,Dwelling,Other animal assistance,Assist trapped wild animal,Ranelagh
09/07/2018 08:35,333,2664,Horse,Outdoor,Other animal assistance,Animal assistance - Lift heavy domestic animal,Smithfield
09/07/2018 14:20,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Smithfield
09/07/2018 17:23,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Temple Bar
09/07/2018 18:04,333,333,Dog,Dwelling,Other animal assistance,Assist trapped domestic animal,Temple Bar
09/07/2018 19:29,333,333,Bird,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Ranelagh
10/07/2018 10:23,333,333,Dog,Road Vehicle,Other animal assistance,Assist trapped domestic animal,Ranelagh
11/07/2018 16:35,333,333,Cat,Non Residential,Animal rescue from height,Animal rescue from height - Domestic pet,Rathmines
11/07/2018 16:49,333,333,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
12/07/2018 12:21,333,NULL,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Dundrum
12/07/2018 19:33,333,333,Bird,Outdoor,Other animal assistance,Assist trapped wild animal,Ballyfermot
13/07/2018 07:52,333,333,Squirrel,Dwelling,Animal rescue from height,Wild animal rescue from height,Perrystown
13/07/2018 11:11,333,333,Cat,Dwelling,Other animal assistance,Animal assistance involving domestic animal - Other action,Clonsilla
13/07/2018 23:32,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Terenure
14/07/2018 15:07,333,333,Cat,Road Vehicle,Other animal assistance,Animal assistance involving domestic animal - Other action,Tallaght
15/07/2018 03:30,333,333,Deer,Outdoor,Other animal assistance,Assist trapped wild animal,Belfield
15/07/2018 18:50,333,333,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Dalkey
15/07/2018 20:23,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Temple Bar
16/07/2018 05:38,333,333,Dog,Dwelling,Other animal assistance,Assist trapped domestic animal,Cabra
16/07/2018 13:18,333,333,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Ballyfermot
16/07/2018 18:07,333,333,Bird,Non Residential,Other animal assistance,Assist trapped wild animal,Clondalkin
17/07/2018 08:59,333,333,Dog,Non Residential,Other animal assistance,Animal assistance involving domestic animal - Other action,Ranelagh
17/07/2018 13:33,333,333,Dog,Dwelling,Other animal assistance,Assist trapped domestic animal,Killester
17/07/2018 15:45,333,333,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Rathmines
17/07/2018 16:16,333,1665,Dog,Dwelling,Other animal assistance,Assist trapped domestic animal,Temple Bar
17/07/2018 19:35,333,333,Bird,Other Residential,Other animal assistance,Assist trapped wild animal,Smithfield
17/07/2018 20:09,333,333,Cat,Dwelling,Other animal assistance,Animal assistance involving domestic animal - Other action,Santry
18/07/2018 17:12,333,333,Dog,Outdoor,Other animal assistance,Assist trapped domestic animal,Milltown
19/07/2018 07:09,333,333,Fox,Non Residential,Other animal assistance,Assist trapped wild animal,Ranelagh
19/07/2018 08:32,333,666,Deer,Non Residential,Other animal assistance,Assist trapped wild animal,Temple Bar
19/07/2018 11:27,333,333,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Cabra
19/07/2018 11:36,333,333,Cat,Dwelling,Other animal assistance,Assist trapped domestic animal,Killester
20/07/2018 06:54,333,333,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Terenure
20/07/2018 11:33,333,333,Dog,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Killester
